epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4002.59,0.45172,0.4431,1.09194,0.93355,0.91351,0.95515,0.81881,0.56967,0.41632,1.14091,0.0001882,0.0001882,0.0001882
84,4050.73,0.44819,0.4402,1.08764,0.92962,0.93061,0.95733,0.8188,0.57066,0.40128,1.13905,0.0001783,0.0001783,0.0001783
85,4097.62,0.44229,0.44896,1.08783,0.93641,0.93259,0.96086,0.82245,0.57285,0.39738,1.14623,0.0001684,0.0001684,0.0001684
86,4145.85,0.44513,0.43822,1.08819,0.93343,0.92377,0.96153,0.82302,0.57707,0.39587,1.14209,0.0001585,0.0001585,0.0001585
87,4192.21,0.43741,0.43594,1.08101,0.91188,0.93489,0.95985,0.81884,0.5783,0.40933,1.14687,0.0001486,0.0001486,0.0001486
88,4238.3,0.43729,0.4379,1.0785,0.93056,0.91986,0.96161,0.82196,0.57779,0.40129,1.14921,0.0001387,0.0001387,0.0001387
89,4284.74,0.43798,0.43341,1.08286,0.94053,0.92016,0.96289,0.82375,0.57169,0.401,1.14595,0.0001288,0.0001288,0.0001288
90,4331.08,0.43324,0.43602,1.07935,0.93352,0.92257,0.9626,0.82268,0.57162,0.39372,1.14331,0.0001189,0.0001189,0.0001189
91,4378.26,0.31995,0.24866,1.04363,0.9412,0.91557,0.9592,0.81712,0.5783,0.39957,1.15665,0.000109,0.000109,0.000109
92,4424.13,0.30349,0.21402,1.02854,0.93747,0.9221,0.95971,0.82014,0.56989,0.40234,1.1473,9.91e-05,9.91e-05,9.91e-05
93,4470.32,0.2893,0.1971,1.02229,0.91514,0.93273,0.95988,0.81986,0.57257,0.40272,1.15732,8.92e-05,8.92e-05,8.92e-05
94,4516.7,0.28774,0.19646,1.01916,0.92872,0.93748,0.96271,0.82073,0.57714,0.39511,1.16423,7.93e-05,7.93e-05,7.93e-05
95,4562.58,0.28689,0.19825,1.01558,0.94626,0.92082,0.96303,0.82101,0.57705,0.39346,1.16265,6.94e-05,6.94e-05,6.94e-05
96,4608.7,0.28261,0.19265,1.00612,0.92246,0.93011,0.96179,0.81788,0.57631,0.3995,1.16348,5.95e-05,5.95e-05,5.95e-05
97,4656.54,0.28061,0.18814,1.00915,0.92481,0.92822,0.96325,0.82063,0.57703,0.40167,1.16435,4.96e-05,4.96e-05,4.96e-05
98,4703.15,0.27608,0.18424,1.00449,0.92413,0.93065,0.96391,0.82023,0.57799,0.39995,1.16966,3.97e-05,3.97e-05,3.97e-05
